# Pathway	SRR8039428_Abundance-CPM	SRR8039449_Abundance-CPM	SRR8039450_Abundance-CPM	SRR8039451_Abundance-CPM	SRR8039454_Abundance-CPM	SRR8039455_Abundance-CPM	SRR8039456_Abundance-CPM	SRR8039457_Abundance-CPM	SRR8039468_Abundance-CPM	SRR8039469_Abundance-CPM	SRR8039470_Abundance-CPM	SRR8039471_Abundance-CPM	SRR8039472_Abundance-CPM	SRR8039473_Abundance-CPM
UNMAPPED	814866	757550	758562	793667	823709	826229	810041	635493	825622	493454	816470	835605	808100	508181
UNINTEGRATED	174674	228958	232080	198753	148657	163122	182999	341797	167274	503589	173474	151141	166654	487200
UNINTEGRATED|g__Aequorivita.s__Aequorivita_sp._HC6-5__1156267	30438	17719.6	0	24476.6	55034.2	0	48492.7	57545.1	0	10584.2	27500.6	116290	145729	9833.5
UNINTEGRATED|g__Alexandrium.s__Alexandrium_andersonii__327968	521.239	170.047	0	105.888	0	1097.57	0	0	0	0	0	0	0	190.298
UNINTEGRATED|g__Alexandrium.s__Alexandrium_catenella__2925	19.142	78.6511	0	26.9415	385.028	96.6508	0	137.654	0	0	0	0	0	162.154
UNINTEGRATED|g__Alexandrium.s__Alexandrium_margalefii__109239	92.3107	937.637	0	54.2862	155.021	267.391	20.9633	1612.61	78.3639	4.89764	0	0	0	80.8539
UNINTEGRATED|g__Ammonia.s__Ammonia_sp.__43993	652.125	2631.41	0	922.826	13988.2	0	782.91	0	0	0	0	2074.45	0	392.21
UNINTEGRATED|g__Amphidinium.s__Amphidinium_carterae__2961	7288.46	2494.15	8000.51	2275.5	28919.4	0	0	61797.2	0	916.616	5088.55	0	0	1090.12
UNINTEGRATED|g__Amphidinium.s__Amphidinium_massartii__160604	12308	7358.35	26470.6	6926.24	2203.64	0	0	24051.9	0	918.004	14768.4	0	0	7202.69
UNINTEGRATED|g__Amphiprora.s__Amphiprora_paludosa__265537	4143.74	3672.95	0	0	0	0	0	0	0	0	0	0	0	335.489
UNINTEGRATED|g__Amphiprora.s__Amphiprora_sp.__2608610	0	53.0879	0	61.3806	557.367	0	0	210.312	0	21.3991	0	0	739.7	1.08488
