Accession	Title	Platform	Total bases	Create date	SRA URL	SRA filename	SRA nice filename	FastQ URL	FastQ Aspera URL	FastQ filename	FastQ nice filename
SRR8039473	metatranscriptome from large size class of marine ESP drift track: 09/18 6pm	Illumina HiSeq 2000	106731	1556834400000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR803/SRR8039473/SRR8039473.sra	SRR8039473.sra	SRR8039473_metatranscriptome_from_large_size_class_of_marine_ESP_drift_track_09_18_6pm.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR803/003/SRR8039473/SRR8039473_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR803/003/SRR8039473/SRR8039473_1.fastq.gz	SRR8039473_1.fastq.gz	SRR8039473_metatranscriptome_from_large_size_class_of_marine_ESP_drift_track_09_18_6pm_1.fastq.gz
SRR8039473	metatranscriptome from large size class of marine ESP drift track: 09/18 6pm	Illumina HiSeq 2000	106731	1556834400000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR803/SRR8039473/SRR8039473.sra	SRR8039473.sra	SRR8039473_metatranscriptome_from_large_size_class_of_marine_ESP_drift_track_09_18_6pm.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR803/003/SRR8039473/SRR8039473_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR803/003/SRR8039473/SRR8039473_2.fastq.gz	SRR8039473_2.fastq.gz	SRR8039473_metatranscriptome_from_large_size_class_of_marine_ESP_drift_track_09_18_6pm_2.fastq.gz
SRR8039470	metatranscriptome from large size class of marine ESP drift track: 09/17 10pm	Illumina HiSeq 2000	47443	1556834400000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR803/SRR8039470/SRR8039470.sra	SRR8039470.sra	SRR8039470_metatranscriptome_from_large_size_class_of_marine_ESP_drift_track_09_17_10pm.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR803/000/SRR8039470/SRR8039470_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR803/000/SRR8039470/SRR8039470_1.fastq.gz	SRR8039470_1.fastq.gz	SRR8039470_metatranscriptome_from_large_size_class_of_marine_ESP_drift_track_09_17_10pm_1.fastq.gz
SRR8039470	metatranscriptome from large size class of marine ESP drift track: 09/17 10pm	Illumina HiSeq 2000	47443	1556834400000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR803/SRR8039470/SRR8039470.sra	SRR8039470.sra	SRR8039470_metatranscriptome_from_large_size_class_of_marine_ESP_drift_track_09_17_10pm.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR803/000/SRR8039470/SRR8039470_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR803/000/SRR8039470/SRR8039470_2.fastq.gz	SRR8039470_2.fastq.gz	SRR8039470_metatranscriptome_from_large_size_class_of_marine_ESP_drift_track_09_17_10pm_2.fastq.gz
SRR8039468	metatranscriptome from large size class of marine ESP drift track: 09/16 10pm	Illumina HiSeq 2000	31246	1556834400000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR803/SRR8039468/SRR8039468.sra	SRR8039468.sra	SRR8039468_metatranscriptome_from_large_size_class_of_marine_ESP_drift_track_09_16_10pm.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR803/008/SRR8039468/SRR8039468_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR803/008/SRR8039468/SRR8039468_1.fastq.gz	SRR8039468_1.fastq.gz	SRR8039468_metatranscriptome_from_large_size_class_of_marine_ESP_drift_track_09_16_10pm_1.fastq.gz
SRR8039468	metatranscriptome from large size class of marine ESP drift track: 09/16 10pm	Illumina HiSeq 2000	31246	1556834400000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR803/SRR8039468/SRR8039468.sra	SRR8039468.sra	SRR8039468_metatranscriptome_from_large_size_class_of_marine_ESP_drift_track_09_16_10pm.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR803/008/SRR8039468/SRR8039468_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR803/008/SRR8039468/SRR8039468_2.fastq.gz	SRR8039468_2.fastq.gz	SRR8039468_metatranscriptome_from_large_size_class_of_marine_ESP_drift_track_09_16_10pm_2.fastq.gz
SRR8039469	metatranscriptome from large size class of marine ESP drift track: 09/17 2am	Illumina HiSeq 2000	62567	1556834400000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR803/SRR8039469/SRR8039469.sra	SRR8039469.sra	SRR8039469_metatranscriptome_from_large_size_class_of_marine_ESP_drift_track_09_17_2am.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR803/009/SRR8039469/SRR8039469_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR803/009/SRR8039469/SRR8039469_1.fastq.gz	SRR8039469_1.fastq.gz	SRR8039469_metatranscriptome_from_large_size_class_of_marine_ESP_drift_track_09_17_2am_1.fastq.gz
SRR8039469	metatranscriptome from large size class of marine ESP drift track: 09/17 2am	Illumina HiSeq 2000	62567	1556834400000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR803/SRR8039469/SRR8039469.sra	SRR8039469.sra	SRR8039469_metatranscriptome_from_large_size_class_of_marine_ESP_drift_track_09_17_2am.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR803/009/SRR8039469/SRR8039469_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR803/009/SRR8039469/SRR8039469_2.fastq.gz	SRR8039469_2.fastq.gz	SRR8039469_metatranscriptome_from_large_size_class_of_marine_ESP_drift_track_09_17_2am_2.fastq.gz
SRR8039472	metatranscriptome from large size class of marine ESP drift track: 09/17 2pm	Illumina HiSeq 2000	23813	1556834400000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR803/SRR8039472/SRR8039472.sra	SRR8039472.sra	SRR8039472_metatranscriptome_from_large_size_class_of_marine_ESP_drift_track_09_17_2pm.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR803/002/SRR8039472/SRR8039472_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR803/002/SRR8039472/SRR8039472_1.fastq.gz	SRR8039472_1.fastq.gz	SRR8039472_metatranscriptome_from_large_size_class_of_marine_ESP_drift_track_09_17_2pm_1.fastq.gz
SRR8039472	metatranscriptome from large size class of marine ESP drift track: 09/17 2pm	Illumina HiSeq 2000	23813	1556834400000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR803/SRR8039472/SRR8039472.sra	SRR8039472.sra	SRR8039472_metatranscriptome_from_large_size_class_of_marine_ESP_drift_track_09_17_2pm.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR803/002/SRR8039472/SRR8039472_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR803/002/SRR8039472/SRR8039472_2.fastq.gz	SRR8039472_2.fastq.gz	SRR8039472_metatranscriptome_from_large_size_class_of_marine_ESP_drift_track_09_17_2pm_2.fastq.gz
